player id,player
2883,Ted Potter Jr.
860,Kevin Stadler
1259,Parker McLachlin
3683,Rafael Campos
1359,Sean O'Hair
4837,Thomas Detry
11340,Victor Perez
4682,Andrew Landry
4845307,Greg Koch
438,Omar Uresti
72,Paul Casey
9658,Taylor Pendrith
1712,Andres Romero
1758,Brendon De Jonge
1673,Brett Stegmaier
3777,Charlie Beljan
1177,Chris Couch
8971,Cody Gribble
856,Carl Pettersson
4602218,Davis Thompson
1173,Jason Bohn
709,John Rollins
1568,Josh Teater
8974,Michael Kim
9528,Smylie Kaufman
4683972,Spencer Ralston
997,Ted Purdy
10714,Chase Koepka
1352,Chris Stroud
11105,Kyle Westmoreland
9002,Tyler McCumber
9934,Jaekyeong Lee
4425898,Austin Eckroat
8910,Benjamin Silverman
7161,Brandon Harkins
4845308,Brad Marek
710,John Senden
4413,Mark Baldwin
268,Tom Lehman
4713443,Kamaiu Johnson
308,Phil Mickelson
479,Mark Wilson
4683804,Andy Ogletree
243,Jerry Kelly
7110,MJ Daffue
4355611,Willie Mack III
1176,Daniel Chopra
10630,Shugo Imahira
5285,Byeong Hun An
4690611,Hanbyeol Kim
4421475,John Augenstein
1734,Kyle Reifers
4708134,Quade Cummins
1613,Sam Saunders
1067,J.B. Holmes
1676,Jamie Lovemark
10583,Justin Suh
4351896,Kristoffer Ventura
