tournament id,tournament name,course,date,purse,season
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
401353224,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",05/06/2022,12,2022
