tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353228,9584,140,142,2,0,NA,CUT,1.79,-1.57,-1.33,1.19,-1.71,0.08
401353228,1225,280,278,4,1,9,T9,0.05,0.21,1.25,0.75,2.21,2.26
401353228,4780,140,147,2,0,NA,CUT,-0.39,-0.77,-0.82,-0.44,-2.03,-2.42
401353228,6011,140,154,2,0,NA,CUT,1.02,0.08,-5.5,-1.52,-6.94,-5.92
401353228,4638,280,288,4,1,51,T51,-0.13,-0.25,-1.05,1.19,-0.11,-0.24
401353228,4415125,140,147,2,0,NA,CUT,-0.6,0.38,-1.7,-0.5,-1.82,-2.42
401353228,3596,280,288,4,1,51,T51,-0.57,-0.78,0.71,0.4,0.33,-0.24
401353228,3599,140,146,2,0,NA,CUT,-1.73,0.45,0.09,-0.74,-0.19,-1.92
401353228,712,140,148,2,0,NA,CUT,0.44,-0.39,-1.07,-1.9,-3.36,-2.92
401353228,4355673,140,143,2,0,NA,CUT,-0.98,-0.25,-0.07,0.89,0.56,-0.42
401353228,9126,280,280,4,1,21,T21,0.6,0.06,-0.19,1.3,1.16,1.76
401353228,10863,140,142,2,0,NA,CUT,0.18,-1.59,0.5,0.99,-0.1,0.08
401353228,5704,140,148,2,0,NA,CUT,0.41,-1.15,0.39,-2.57,-3.32,-2.92
401353228,205,140,142,2,0,NA,CUT,1.01,-1.06,0.48,-0.36,-0.94,0.08
401353228,6017,280,279,4,1,15,T15,0.25,0.05,0.85,0.86,1.76,2.01
401353228,1121,140,142,2,0,NA,CUT,-0.01,0.77,-0.5,-0.17,0.1,0.08
401353228,769,280,279,4,1,15,T15,0.2,1.03,0.96,-0.19,1.81,2.01
401353228,1097,140,141,2,0,NA,CUT,-0.21,0.28,-0.45,0.96,0.79,0.58
401353228,8975,280,286,4,1,46,T46,-0.69,0.31,0.68,-0.04,0.95,0.26
401353228,1264,280,289,4,1,56,T56,-0.89,-0.15,1.24,-0.69,0.4,-0.49
401353228,4425906,280,274,4,1,2,T2,-0.58,0.78,1.54,1.52,3.84,3.26
401353228,5167,280,286,4,1,46,T46,-1.01,0.33,0.41,0.53,1.27,0.26
401353228,11456,140,142,2,0,NA,CUT,-0.66,1.08,0.15,-0.48,0.74,0.08
401353228,3950,140,141,2,0,NA,CUT,-1.99,0.41,1.19,0.96,2.57,0.58
401353228,5574,280,286,4,1,46,T46,1.22,0.47,-0.9,-0.53,-0.96,0.26
401353228,6701,140,144,2,0,NA,CUT,-0.51,0.24,0.54,-1.19,-0.41,-0.92
401353228,10054,280,281,4,1,25,T25,1.64,0.68,-0.71,-0.1,-0.13,1.51
401353228,11448,140,148,2,0,NA,CUT,-1.74,-1.58,0.65,-0.25,-1.18,-2.92
401353228,3455,280,285,4,1,41,NA,NA,NA,NA,NA,NA,NA
401353228,4423323,280,293,4,1,62,T62,0.02,-0.83,-0.91,0.23,-1.51,-1.49
401353228,1483,140,142,2,0,NA,CUT,-0.68,1.04,-0.34,0.06,0.76,0.08
401353228,11333,140,147,2,0,NA,CUT,-0.44,-0.23,-2.61,0.86,-1.98,-2.42
401353228,3550,140,145,2,0,NA,CUT,0.53,0.38,-2.03,-0.3,-1.95,-1.42
401353228,4364752,140,142,2,0,NA,CUT,0.63,0.1,-1.25,0.61,-0.55,0.08
401353228,4844,140,141,2,0,NA,CUT,1.25,-0.33,-0.09,-0.26,-0.67,0.58
401353228,11387,280,285,4,1,41,T41,0.47,0.03,0.59,-0.58,0.04,0.51
401353228,5573,280,290,4,1,59,T59,-0.38,1.09,-0.68,-0.76,-0.36,-0.74
401353228,3856,140,141,2,0,NA,CUT,0.49,0.23,-0.46,0.31,0.09,0.58
401353228,5902,140,146,2,0,NA,CUT,-1.03,0.07,-0.68,-0.27,-0.88,-1.92
401353228,508,140,146,2,0,NA,CUT,-0.34,0.77,-1.27,-1.08,-1.58,-1.92
401353228,6196,280,288,4,1,51,T51,-0.77,-0.41,1.25,-0.32,0.53,-0.24
401353228,1680,280,279,4,1,15,T15,-0.31,0.7,1.59,0.02,2.32,2.01
401353228,110,140,145,2,0,NA,CUT,-1.59,-0.56,0.88,-0.15,0.17,-1.42
401353228,5025,280,278,4,1,9,T9,1.96,0.33,-0.22,0.19,0.3,2.26
401353228,3598,140,141,2,0,NA,CUT,1.37,-0.56,-1.24,1.01,-0.79,0.58
401353228,5797,140,146,2,0,NA,CUT,-1.22,-0.23,0.7,-1.16,-0.7,-1.92
401353228,6894,140,141,2,0,NA,CUT,1.37,-1.2,0.98,-0.57,-0.79,0.58
401353228,10505,280,278,4,1,9,T9,0.09,0.7,0.75,0.72,2.17,2.26
401353228,1030,280,279,4,1,15,T15,0.61,0.33,2.51,-1.45,1.4,2.01
401353228,1265,140,151,2,0,NA,CUT,1.29,0.45,-3.07,-3.1,-5.71,-4.42
401353228,5771,140,145,2,0,NA,CUT,-1.89,-0.1,0.03,0.54,0.47,-1.42
401353228,4513,280,274,4,1,2,T2,2.44,-0.59,0.25,1.17,0.82,3.26
401353228,3857,280,293,4,1,62,T62,0.17,-0.35,-0.9,-0.41,-1.66,-1.49
401353228,10363,140,143,2,0,NA,CUT,-1.1,0.08,0.11,0.5,0.69,-0.42
401353228,10364,280,279,4,1,15,T15,-0.56,-0.17,2.09,0.65,2.57,2.01
401353228,6689,280,287,4,1,49,T49,-0.18,0.74,-0.85,0.31,0.19,0.01
401353228,7083,280,281,4,1,25,T25,1.35,-0.39,0.55,0,0.16,1.51
401353228,8906,140,143,2,0,NA,CUT,0.6,-1.25,0.98,-0.75,-1.02,-0.42
401353228,1077,140,146,2,0,NA,CUT,0.04,-0.13,-1.23,-0.6,-1.95,-1.92
401353228,3793,140,144,2,0,NA,CUT,-1.11,0.09,0.7,-0.59,0.19,-0.92
401353228,601,280,281,4,1,25,T25,0.09,0.55,1.83,-0.97,1.42,1.51
401353228,676,140,147,2,0,NA,CUT,-1.17,-0.2,-1.8,0.76,-1.25,-2.42
401353228,5962,280,277,4,1,6,T6,0.27,-0.2,1.4,1.03,2.23,2.51
401353228,4845305,140,157,2,0,NA,CUT,-0.06,-1.4,-2.17,-3.79,-7.36,-7.42
401353228,4404991,140,144,2,0,NA,CUT,0.42,0.73,-1.74,-0.32,-1.34,-0.92
